
256,256,256,2,16,4,
# of set,Inner,Outer,Gustovson,
0,1057280,69888,66048,
1,1057536,69888,66048,
2,1057536,69888,66048,
3,1057536,69888,66048,
4,1057536,69888,66048,
5,1057536,69888,66048,
6,1057536,69888,66048,
7,1057536,69888,66048,
8,1057536,69888,66048,
9,1057536,69888,66048,
10,1057536,69888,66048,
11,1057536,69888,66048,
12,1057536,69888,66048,
13,1057536,69888,66048,
14,1057536,69888,66048,
15,1057280,69888,66048,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,

==============
256,256,256,2,16,4,
# of set,Inner,Outer,Gustovson,
0,1057280,69888,66048,
1,1057536,69888,66048,
2,1057536,69888,66048,
3,1057536,69888,66048,
4,1057536,69888,66048,
5,1057536,69888,66048,
6,1057536,69888,66048,
7,1057536,69888,66048,
8,1057536,69888,66048,
9,1057536,69888,66048,
10,1057536,69888,66048,
11,1057536,69888,66048,
12,1057536,69888,66048,
13,1057536,69888,66048,
14,1057536,69888,66048,
15,1057280,69888,66048,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,

==============
256,256,256,2,16,4,
# of set,Inner,Outer,Gustovson,
0,66048,69888,66048,
1,66048,69888,66048,
2,66048,69888,66048,
3,66048,69888,66048,
4,66048,69888,66048,
5,66048,69888,66048,
6,66048,69888,66048,
7,66048,69888,66048,
8,66048,69888,66048,
9,66048,69888,66048,
10,66048,69888,66048,
11,66048,69888,66048,
12,66048,69888,66048,
13,66048,69888,66048,
14,66048,69888,66048,
15,66048,69888,66048,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,

==============
256,256,256,2,16,4,
# of set,Inner,Outer,Gustovson,
0,66048,66048,66048,
1,66048,66048,66048,
2,66048,66048,66048,
3,66048,66048,66048,
4,66048,66048,66048,
5,66048,66048,66048,
6,66048,66048,66048,
7,66048,66048,66048,
8,66048,66048,66048,
9,66048,66048,66048,
10,66048,66048,66048,
11,66048,66048,66048,
12,66048,66048,66048,
13,66048,66048,66048,
14,66048,66048,66048,
15,66048,66048,66048,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
